seg,power,vo2,cad,la,rf,hr,sat
941,220,2635.7,94,2.6653,24.691,141.0,97
942,220,2693.7,93,2.674,24.157,141.5,97
943,220,2751.7,93,2.6827,23.622,142.0,97
944,220,2789,93,2.6913,24.577,142.0,97
945,220,2826.3,93,2.7,25.532,142.0,97
946,220,2839.2,94,2.7087,23.911,142.3,97
947,220,2852.1,93,2.7173,22.29,142.5,97
948,220,2865,92,2.726,20.669,142.8,97
949,220,2877.9,92,2.7347,19.048,143.0,97
950,220,3002.9,93,2.7433,22.182,142.5,97
951,220,3127.8,93,2.752,25.316,142.0,97
952,220,3041.3,92,2.7607,24.453,140.7,97
953,220,2954.9,91,2.7693,23.59,139.3,97
954,220,2868.5,91,2.778,22.727,138.0,97
955,220,2830.6,91,2.7867,23.812,139.5,97
956,220,2792.7,91,2.7953,24.896,141.0,97
957,220,2643.2,91,2.804,23.155,141.7,97
958,220,2493.7,91,2.8127,21.414,142.3,97
959,220,2344.2,93,2.8213,19.672,143.0,97
960,220,2495.6,94,2.83,22.602,144.5,97
961,220,2647,94,2.834,25.532,146.0,97
962,220,2784.8,92,2.838,25.355,145.0,97
963,220,2922.5,91,2.842,25.177,144.0,97
964,220,3060.3,91,2.846,25,143.0,97
965,220,3160.8,92,2.85,25.953,143.0,97
966,220,3261.3,92,2.854,26.906,143.0,97
967,220,3097.6,91,2.858,26.384,141.5,97
968,220,2933.9,93,2.862,25.862,140.0,97
969,220,2882.8,93,2.866,25.21,140.7,97
970,220,2831.6,93,2.87,24.557,141.3,97
971,220,2780.5,93,2.874,23.904,142.0,97
972,220,2940.8,93,2.878,26.103,142.0,97
973,220,3101.1,93,2.882,28.302,142.0,97
974,220,3110.2,94,2.886,27.85,141.5,97
975,220,3119.3,94,2.89,27.397,141.0,97
976,220,3099.2,94,2.894,26.914,142.0,97
977,220,3079.2,93,2.898,26.432,143.0,97
978,220,2997.1,93,2.902,26.06,142.0,97
979,220,2914.9,94,2.906,25.688,141.0,97
980,220,2832.8,95,2.91,25.316,140.0,97
981,220,2841.9,95,2.914,25.37,140.5,97
982,220,2850.9,96,2.918,25.424,141.0,97
983,220,2855.1,95,2.922,25.112,140.0,97
984,220,2859.2,94,2.926,24.801,139.0,97
985,220,2863.3,93,2.93,24.49,138.0,97
986,220,2938.6,93,2.934,24.54,139.5,97
987,220,3013.8,93,2.938,24.59,141.0,97
988,220,3098,93,2.942,24.953,143.5,97
989,220,3182.2,92,2.946,25.316,146.0,97
990,220,3163.9,92,2.95,25.388,145.7,97
991,220,3145.6,92,2.954,25.46,145.3,97
992,220,3127.3,92,2.958,25.532,145.0,97
993,220,3127.4,93,2.962,24.577,145.0,97
994,220,3127.6,93,2.966,23.622,145.0,97
995,220,3033.6,93,2.97,24.482,147.7,97
996,220,2939.5,92,2.974,25.341,150.3,97
997,220,2845.5,92,2.978,26.201,153.0,97
998,220,2900.4,93,2.982,25.812,153.5,97
999,220,2955.4,93,2.986,25.424,154.0,97
1000,220,2973.5,94,2.99,25.478,149.5,97
1001,220,2991.6,95,2.994,25.532,145.0,97
1002,220,2913.1,95,2.998,24.655,145.7,97
1003,220,2834.7,95,3.002,23.778,146.3,97
1004,220,2756.3,95,3.006,22.901,147.0,97
1005,220,2897.5,96,3.01,23.499,147.0,97
1006,220,3038.8,95,3.014,24.096,147.0,97
1007,220,2952.6,95,3.018,23.846,147.7,97
1008,220,2866.4,94,3.022,23.596,148.3,97
1009,220,2780.1,95,3.026,23.346,149.0,97
1010,220,2901.5,96,3.03,25.066,146.5,97
1011,220,3023,98,3.034,26.786,144.0,97
1012,220,2989.2,97,3.038,26.478,145.0,97
1013,220,2955.4,96,3.042,26.17,146.0,97
1014,220,2921.7,96,3.046,25.862,147.0,97
1015,220,3003.4,96,3.05,25.483,146.5,97
1016,220,3085.2,95,3.054,25.105,146.0,97
1017,220,3133.4,95,3.058,25.428,144.5,97
1018,220,3181.7,95,3.062,25.751,143.0,97
1019,220,3160.8,96,3.066,25.398,144.3,97
1020,220,3139.8,97,3.07,25.045,145.7,97
1021,220,3118.9,97,3.0823,24.691,147.0,97
1022,220,3033.8,96,3.0947,23.84,146.5,97
1023,220,2948.8,97,3.107,22.989,146.0,97
1024,220,2864.3,97,3.1193,23.358,145.3,97
1025,220,2779.8,96,3.1317,23.727,144.7,97
1026,220,2695.3,96,3.144,24.096,144.0,97
1027,220,2928.6,96,3.1563,24.394,144.5,97
1028,220,3161.8,96,3.1687,24.691,145.0,97
1029,220,3093.2,96,3.181,24.153,145.0,97
1030,220,3024.6,95,3.1933,23.615,145.0,97
1031,220,2956,95,3.2057,23.077,145.0,97
1032,220,2943.6,95,3.218,23.834,146.5,97
1033,220,2931.2,95,3.2303,24.59,148.0,97
1034,220,3067.8,94,3.2427,24.658,148.0,97
1035,220,3204.5,94,3.255,24.726,148.0,97
1036,220,3341.1,93,3.2673,24.793,148.0,97
1037,220,3087.2,93,3.2797,23.591,150.0,97
1038,220,2833.3,94,3.292,22.388,152.0,97
1039,220,2944.4,94,3.3043,23.329,149.7,97
1040,220,3055.5,94,3.3167,24.269,147.3,97
1041,220,3166.6,94,3.329,25.21,145.0,97
1042,220,3102.5,95,3.3413,23.496,146.0,97
1043,220,3038.5,94,3.3537,21.781,147.0,97
1044,220,2974.4,93,3.366,20.067,148.0,97
1045,220,3375.5,93,3.3783,22.533,148.5,97
1046,220,3776.6,93,3.3907,25,149.0,97
1047,220,3644.9,93,3.403,25.214,149.3,97
1048,220,3513.1,95,3.4153,25.427,149.7,97
1049,220,3381.4,96,3.4277,25.641,150.0,96
1050,220,3395.3,95,3.44,25.586,149.0,97
1051,220,3409.3,94,3.4523,25.532,148.0,97
1052,220,3296.6,94,3.4647,24.401,148.0,97
1053,220,3183.9,94,3.477,23.271,148.0,97
1054,220,3071.2,94,3.4893,22.14,148.0,97
1055,220,3025.3,94,3.5017,23.265,148.0,96
1056,220,2979.5,95,3.514,24.39,148.0,96
1057,220,2911.9,95,3.5263,23.923,147.7,96
1058,220,2844.3,95,3.5387,23.456,147.3,96
1059,220,2776.6,95,3.551,22.989,147.0,96
1060,220,3014.8,95,3.5633,22.815,148.5,96
1061,220,3253,95,3.5757,22.642,150.0,96
1062,220,3224,94,3.588,23.062,150.0,96
1063,220,3195,95,3.6003,23.483,150.0,96
1064,220,3165.9,95,3.6127,23.904,150.0,96
1065,220,2906.5,93,3.625,24.664,148.5,96
1066,220,2647.1,93,3.6373,25.424,147.0,96
1067,220,2868.6,93,3.6497,25.424,145.7,96
1068,220,3090.1,94,3.662,25.424,144.3,97
1069,220,3311.6,95,3.6743,25.424,143.0,97
1070,220,2871.7,95,3.6867,25.007,143.5,97
1071,220,2431.7,92,3.699,24.59,144.0,97
1072,220,2561.9,92,3.7113,27.001,144.0,97
1073,220,2692,93,3.7237,29.412,144.0,97
1074,220,3079.6,92,3.736,28.857,145.5,97
1075,220,3467.2,92,3.7483,28.302,147.0,97
1076,220,3350.6,92,3.7607,28.235,147.0,96
1077,220,3234.1,94,3.773,28.169,147.0,97
1078,220,3206.4,96,3.7853,27.783,146.5,97
1079,220,3178.7,95,3.7977,27.397,146.0,97
1080,220,3154.5,95,3.81,27.037,147.3,97
1081,220,3130.4,95,3.8103,26.676,148.7,97
1082,220,3106.3,96,3.8107,26.316,150.0,97
1083,220,3078.2,96,3.811,26.551,148.0,97
1084,220,3050.1,95,3.8113,26.786,146.0,97
1085,220,2897.6,94,3.8117,28.027,144.5,97
1086,220,2745.1,93,3.812,29.268,143.0,97
1087,220,2984.2,92,3.8123,27.908,143.0,97
1088,220,3223.2,92,3.8127,26.549,143.0,97
1089,220,3187.9,92,3.813,25.93,152.7,97
