id;fresh;protocolo;MMP5;dec
1;5.1;1;4.83;5.3
1;5.1;2;4.78;6.3
1;5.1;3;4.52;11.4
2;4.87;1;4.76;2.3
2;4.87;2;4.71;3.3
2;4.87;3;4.32;11.3
3;5.47;1;5.41;1.1
3;5.47;2;5.12;6.4
3;5.47;3;5.01;8.4
4;5.22;1;5.17;1.0
4;5.22;2;5.11;2.1
4;5.22;3;5.10;2.3
5;4.67;1;4.53;3.0
5;4.67;2;4.46;4.5
5;4.67;3;4.41;5.6
